transaction_type_pattern,description_pattern,category,essential


.*,DAKU COFFEE,EATING OUT;COFFEE,N
.*,DAKU London,EATING OUT;COFFEE,N
.*,COSTA COFFEE,EATING OUT;COFFEE,N
.*,STARBUCKS,EATING OUT;COFFEE,N
.*,CAFE NERO,EATING OUT;COFFEE,N
.*,KNOOPS,EATING OUT;COFFEE,N
.*,CAFE BAR,EATING OUT;COFFEE,N
.*,CAFE NERO,EATING OUT;COFFEE,N
.*,CAFE RAILS,EATING OUT;COFFEE,N

.*,Wasabi_HighStreetKensi London GB,EATING OUT;LUNCH,N
.*,WASABI,EATING OUT;LUNCH,N
.*,WHOLE FOODS MARKET,EATING OUT;LUNCH,N
.*,PORTLANDS 247,EATING OUT;LUNCH,N
.*,BAGEL,EATING OUT;LUNCH,N
.*,UPPER CRUST,EATING OUT;LUNCH,N

.*,Ancells Fish and Chips,EATING OUT;FAST FOOD,N
.*,FLYING FISH,EATING OUT;FAST FOOD,N
.*,THE GOOD BREAKFAST,EATING OUT;FAST FOOD,N
.*,KFC,EATING OUT;FAST FOOD,N
.*,MCDONALDS,EATING OUT;FAST FOOD,N
.*,BURGER KING,EATING OUT;FAST FOOD,N
.*,GREGGS,EATING OUT;FAST FOOD,N
.*,NEW ERA,EATING OUT;FAST FOOD,N
.*,BRIDGE ROAD CAFE,EATING OUT;FAST FOOD,N
.*,SALT DELI,EATING OUT;FAST FOOD,N
.*,WOK U LIKE,EATING OUT;FAST FOOD,N
.*,GOLDEN DRAGON,EATING OUT;FAST FOOD,N
.*,Diwali Indian,EATING OUT;FAST FOOD,N
.*,GAILS,EATING OUT;FAST FOOD,N
.*,TOPS PIZZA,EATING OUT;FAST FOOD,N
.*,JUBILEE CAFE,EATING OUT;FAST FOOD,N
.*,MARKS&SPENCER,EATING OUT;FAST FOOD,N

.*,WATERMILL.ORG,EATING OUT;RESTAURANT,N
.*,Wagamama,EATING OUT;RESTAURANT,N
.*,WAGAMAMA,EATING OUT;RESTAURANT,N
.*,WING STOP,EATING OUT;RESTAURANT,N
.*,COSY CLUB,EATING OUT;RESTAURANT,N
.*,COSMO,EATING OUT;RESTAURANT,N
.*,KARA FLEET,EATING OUT;RESTAURANT,N
.*,LOUNGERS BRISTOL,EATING OUT;RESTAURANT,N
.*,WILDERKITCHEN,EATING OUT;RESTAURANT,N
.*,El Castello,EATING OUT;RESTAURANT,N
.*,Bella Capri,EATING OUT;RESTAURANT,N
.*,ALENTO lOUNGE,EATING OUT;RESTAURANT,N

.*,WETHERSPOON,EATING OUT;PUB,N
.*,OATSHEAF,EATING OUT;PUB,N
.*,PARCEL YARD,EATING OUT;PUB,N
.*,PRINCE OF WALES,EATING OUT;PUB,N
.*,QUEENS ARMS,EATING OUT;PUB,N
.*,THE QUEEN HOTEL,EATING OUT;PUB,N
.*,The Wyvern,EATING OUT;PUB,N
.*,WILLIAMS ALE,EATING OUT;PUB,N
.*,WWW.BREWDOG.COM,EATING OUT;PUB,N
.*,CRAB AND DRAGON,EATING OUT;PUB,N
.*,GREYHOUND,EATING OUT;PUB,N
.*,CROOKHAM STREET SOCIAL,EATING OUT;PUB,N
.*,FOX AND HOUNDS,EATING OUT;PUB,N
.*,BELL INN,EATING OUT;PUB,N

.*,TV LICENCE,Entertainment;TV Licence,N
.*,APPLE.COM,Entertainment;Apple TV,N
.*,Netflix,Entertainment;Netflix,N
.*,NETFLIX,Entertainment;Netflix,N
.*,Amazon Prime,Entertainment;Amazon Prime,N
.*,Prime Video,Entertainment;Amazon Prime,N
.*,CINEWORLD,Entertainment;Cinema,N
.*,Vue Cinemas,Entertainment;Cinema,N
.*,ALLWYN,Entertainment;Lottery,N
.*,Spotify,Entertainment;Spotify,N
.*,Legoland,Entertainment;Legolad,N

.*,The Lost Est,Entertainment;Theatre,N
.*,LONDON THEATRE DIRECT,Entertainment;Theatre,N
.*,Tank Museum,Entertainment;Tank Museum,N

.*,DORSET NECTAR,Entertainment;Camping & Festivals,N
.*,TRUCK FESTIVAL,Entertainment;Camping & Festivals,N
.*,Decathlon,Entertainment;Camping & Festivals,N
.*,HARRINGTONS BOTTLED GAS,Entertainment;Camping & Festivals,N



.*,TFL TRAVEL,Travel work;Tube,N
.*,SWRAILWAYSELFSERVE,Travel work;Train,N
.*,SWRAILWAY TCK,Travel work;Train,N

.*,BP,Travel;Fuel,N
.*,ESSO,Travel;Fuel,N
.*,SHELL ,Travel;Fuel,N
.*,AMESBURY FILLING,Travel;Fuel,N
.*,M6 TOLL,Travel;Tolls,N
.*,ALPHA BATTERIES,Travel;Car Repairs,N
.*,FOSTER AND HEANES,Travel;Car Repairs,N
.*,ROADWHEEL,Travel;Car Repairs,N
.*,DVLA,Travel;Car Tax,N
.*,esure,Travel;Car Insurance,N
Contactless Payment,Hart District,Travel;Car Parks,N
Contactless Payment,ASHLEY CENTRE,Travel;Car Parks,N
.*,RINGGO,Travel;Car Parks,N
.*,SILVESTER BROS,Travel;Bike repairs,N

.*,SAINSBURY,FOOD;Sainsbury,N
.*,WAITROSE,FOOD;Waitrose,N
.*,WM MORRISONS,FOOD;Morrison,N
.*,W M MORRISONS,FOOD;Morrison,N
.*,ASDA STORES,FOOD;ASDA,N
.*,TESCO,FOOD;TESCO,N
.*,Nisa Local,FOOD;Nisa,N
.*,CO-OP,FOOD;Coop,N

.*,Temu,Household;Temu,N
.*,aliexpress,Household;aliexpress,N

.*,eBay,Household;ebay,N
.*,AMAZON,Household;Amazon,N
Direct debit,D&G,Household;Insurance,N
,Aviva Online Perth,Household;Insurance,N
Direct debit,LV LIFE,Household;Insurance,N
Direct debit,HART D C,Household;Bills,N
Direct debit,OCTOPUS,Household;Bills,N
Direct debit,SOUTH EAST WATER,Household;Bills,N
Direct debit,SOUTH EAST WATER,Household;Bills,N
Direct debit,NEWCASTLE,Household;Mortgage,N
.*,Argos,Household;Argos,N
.*,Shurgard,Household;Storage,N
.*,SCREWFIX,Household;DIY,N
.*,GAPOGROUP,Household;DIY,N
.*,HIPPO WASTEWORLD,Household;DIY,N
.*,RADIATOR WORLD,Household;DIY,N
.*,VICTORIAN PLUMBING,Household;DIY,N
.*,ROBERT DYAS,Household;DIY,N
.*,SELCO,Household;DIY,N
.*,B & Q,Household;DIY,N
.*,insulation4le,Household;DIY,N
.*,INSULATION4LE,Household;DIY,N
.*,WICKES,Household;DIY,N
.*,PHILIP CARTER,Household;DIY,N
.*,PAUL LETTS,Household;DIY,N
.*,VODAFONE,Household;Telephone & Broadband,N
.*,HMRC,Household;Tax Payment,N


.*,WIZARD CLINICS,Health;Skin Tag,N
.*,HOLLAND & BARRETT,Health;Vitamins & Minerals,N
.*,BOOTS OPTICIANS,Health;Contact Lenses,N
.*,BOOTS REWARDSCHEME,Health;Contact Lenses,N
.*,BOOTS.*FLEET,Health;Toiletries,N
.*,BOOTS.*BRIDGWATER,Health;Toiletries,N
.*,SUPERDRUG,Health;Toiletries,N
.*,SAVERS HEALTH,Health;Toiletries,N
.*,MYDENTIST,Health;Dentist,N
.*,CULTBEAUTY,Health;Perfume,N
.*,The Fragrance Shop,Health;Perfume,N
.*,Rituals Cosmetics,Health;Perfume,N
.*,Lush UK,Health;Perfume,N
.*,GLL,Health;Gym,N
.*,BETTER.ORG,Health;Gym,N
.*,DADDS N LADS,Health;Haircuts,N

.*,HIFML,Savings;Halifax,N
.*,ISA-CAR,Savings;Car Savings,N
.*,Flex REGULAR,Savings;Emergency Fund,N
.*,ISA-EMERGENCY,Savings;Emergency Fund,N

.*,SAPPHIRE,To Sapphire;With Love,N
.*,GSUITE,To Sapphire;Desert workshop,N
.*,ALFIE MUMFORD,To Alfie;To Alfie,N
.*,DANIEL,To Daniel;To Daniel,N
.*,Daniel,To Daniel;To Daniel,N

.*,ANGELA HUXTER,Mum Carers;Angela,N
.*,Heather Mills,Mum Carers;Heather,N

.*,Cheque deposit,Cheque;Mum Carer,N
.*,PARTNERS CAPITAL,Income;Salary,N
.*,COMMONWEALTH,Income;Dividend,N
.*,Interest added,Income;Interest,N
Transfer to,07,Transfers;Nationwide,N
Transfer from,07.*,Transfers;Nationwide,N
Payment to,PHILIP MUMFORD,Transfers;Nationwide,N
ATM Withdrawal,.*,Cash Withdrawal;Cash,N

.*,Airbnb,Holidays;Weekend Break,N
.*,SESTRIERE,Holdays;Skiing,N
